,country,year,Access to electricity,Electricity production(coal),Energy use per capita,co2 emissions,Inflation,Exports,GDP Growth(Annual),GDP Per Capita (USD)
0,BGD,2011,59.5999984741211,1.87303241002876,212.058286389298,72.8750551267916,,,,
1,BGD,2012,66.1555709838867,1.92743297228285,219.972661567757,71.9930936368339,6.21750422069283,12.5322586857715,6.5214587805942,883.117129615718
2,BGD,2013,61.5,2.30609939759036,222.0614049963,71.5906388246946,7.53040640913171,2.45188433700574,6.0136056582172,981.860851354457
3,BGD,2014,62.4000015258789,1.9697376667562,229.25054031946,72.052526645768,6.99163889220854,3.20114927328233,6.0610593590396,1118.87380783368
4,BGD,2015,74.9037399291992,1.6895155140567,,68.045893430046,6.19428022984988,-2.82999016676041,6.55263987869203,1248.45330989613
5,BGD,2016,75.9199981689453,,,72.6786072687822,5.5135257269299,2.1967496434186,7.11347821327269,1401.56463513179
6,BGD,2017,88.0,,,,5.70207015717245,-2.34261400488313,7.28417442269364,1563.76781861826
7,BGD,2018,91.8000030517578,,,,5.5436213948647,8.08833858860216,7.86375358002958,1698.13208078712
8,BGD,2019,92.1999969482422,,,,5.59199639930633,10.9378558845367,8.1526841493979,1855.74009422319
9,BGD,2020,96.1999969482422,,,,5.6910747474621,-18.2390929258072,3.5091358821393,1961.6137487886
10,BGD,2021,,,,,5.54565430773474,,,
11,CAN,2011,100.0,11.8128871860473,7911.55458837168,34.8984959468341,,,,
12,CAN,2012,100.0,10.1160604475608,7733.41165473909,34.8101606535804,1.51567823124521,2.8146891173887,1.76222254945881,52669.0899632316
13,CAN,2013,100.0,9.79939721456005,7743.72574213676,35.6918696863485,0.93829189781521,2.46077333748107,2.3291225062102,52635.1749580433
14,CAN,2014,100.0,9.91712773346746,7897.85561511436,36.0408082516064,1.90663590717873,6.32276594130548,2.87003607545671,50955.9983232404
15,CAN,2015,100.0,9.83644929480872,7631.34157027209,35.7814677881174,1.12524136094279,3.41900045840708,0.659176863558869,43596.1355365546
16,CAN,2016,100.0,,,39.4251794797268,1.4287595470108,1.40666435314809,1.00139441390405,42315.6037056806
17,CAN,2017,100.0,,,,1.5968841285297,1.44507150023759,3.03988022528195,45129.4292980922
18,CAN,2018,100.0,,,,2.268225672481,3.68341751612407,2.77704055379553,46548.6384108296
19,CAN,2019,100.0,,,,1.94926902411596,1.28272883006322,1.87959202770178,46328.6718408497
20,CAN,2020,100.0,,,,0.716999632307852,-8.69268443111815,-5.23302430280606,43258.2638715601
21,CAN,2021,,,,,3.39519318527532,,,
22,CHN,2011,99.8487243652344,78.8771230435926,2085.08302163141,2.65342471910112,,,,
23,CHN,2012,99.9619293212891,75.6589120538476,2149.60256906343,2.91430261160721,2.61952432645544,,7.86373644866194,6300.61511825789
24,CHN,2013,99.9964447021484,75.2790685739732,2204.24329905226,3.22431090666098,2.62105001748115,,7.766150097539,7020.33848453658
25,CHN,2014,100.0,72.6339078091231,2224.35489845903,3.57637507655428,1.92164162788521,,7.42576365645755,7636.11660125502
26,CHN,2015,100.0,70.3094269525225,,3.73279048831028,1.43702380935655,,7.04132887865481,8016.43143498003
27,CHN,2016,100.0,,,4.10717929227832,2.00000182191941,,6.84876220503246,8094.36336675194
28,CHN,2017,100.0,,,,1.59313600071434,,6.94720079327288,8816.98690451989
29,CHN,2018,100.0,,,,2.07479039965578,,6.74977383247717,9905.34200389253
30,CHN,2019,100.0,,,,2.89923416358227,,5.94971423273162,10143.8381719921
31,CHN,2020,100.0,,,,2.4194218945778,,2.3475135727457,10434.7751874839
32,CHN,2021,,,,,0.981015135544851,,,
33,GHA,2011,64.0625610351563,0.0,311.430297010211,12.9741523341523,,,,
34,GHA,2012,56.5099983215332,0.0,329.158353673928,5.64748945147679,11.1863409441066,15.1860087090927,9.2927894063005,1587.56093185809
35,GHA,2013,70.6999969482422,0.0,336.467934154704,4.00658227848101,11.6661923071728,-3.60492107119499,7.31252501678145,2361.09032388366
36,GHA,2014,78.3000030517578,0.0,331.827127643944,8.90593597773139,15.4896160333319,-0.956859033460816,2.85624016330883,2012.26424719728
37,GHA,2015,74.0788421630859,0.0,,16.1415862524785,17.1499695007878,17.6273966626627,2.12075933817334,1774.07477092508
